Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Payment Mode,AvgDeivery
7034,CA-2019-145548,"Monday, November 11, 2019","Saturday, November 16, 2019",Standard Class,EB-13750,Edward Becker,Corporate,United States,New York City,New York,East,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,55.008,3,17.19,Online,5
7035,CA-2019-145548,"Monday, November 11, 2019","Saturday, November 16, 2019",Standard Class,EB-13750,Edward Becker,Corporate,United States,New York City,New York,East,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",35.232,3,11.4504,Online,5
681,CA-2019-164511,"Tuesday, November 19, 2019","Sunday, November 24, 2019",Standard Class,DJ-13630,Doug Jacobs,Consumer,United States,New York City,New York,East,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,14.352,3,4.6644,Online,5
1289,CA-2019-154711,"Friday, November 22, 2019","Tuesday, November 26, 2019",Standard Class,TB-21355,Todd Boyes,Corporate,United States,New York City,New York,East,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",12.192,4,4.1148,COD,4
8080,US-2019-164945,"Friday, November 22, 2019","Wednesday, November 27, 2019",Standard Class,CA-12055,Cathy Armstrong,Home Office,United States,New York City,New York,East,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,134.272,8,46.9952,Online,5
6696,US-2019-155103,"Monday, December 2, 2019","Saturday, December 7, 2019",Standard Class,JF-15190,Jamie Frazer,Consumer,United States,New York City,New York,East,OFF-BI-10004318,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,415.176,3,134.9322,Cards,5
6697,US-2019-155103,"Monday, December 2, 2019","Saturday, December 7, 2019",Standard Class,JF-15190,Jamie Frazer,Consumer,United States,New York City,New York,East,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",35.232,3,11.4504,COD,5
6397,CA-2019-129126,"Saturday, December 14, 2019","Thursday, December 19, 2019",Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,East,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",23.12,2,7.803,COD,5
8512,CA-2019-103359,"Sunday, December 22, 2019","Thursday, December 26, 2019",Standard Class,LC-16885,Lena Creighton,Consumer,United States,New York City,New York,East,OFF-BI-10004233,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",25.584,2,8.9544,COD,4
5178,CA-2019-123015,"Thursday, December 26, 2019","Monday, December 30, 2019",Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,New York City,New York,East,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,4.992,3,1.6848,COD,4
7027,US-2020-101840,"Thursday, February 6, 2020","Wednesday, February 12, 2020",Standard Class,SP-20545,Sibella Parks,Corporate,United States,New York City,New York,East,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",134.24,4,15.606,Online,6
4903,CA-2020-110884,"Saturday, March 7, 2020","Thursday, March 12, 2020",Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,New York City,New York,East,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,133.92,6,9.072,Online,5
3100,CA-2020-131233,"Tuesday, April 14, 2020","Sunday, April 19, 2020",Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,New York City,New York,East,OFF-BI-10000829,Office Supplies,Binders,Avery Non-Stick Binders,110.776,3,3.5022,COD,5
3942,CA-2020-117863,"Monday, May 18, 2020","Saturday, May 23, 2020",Standard Class,TS-21340,Toby Swindell,Consumer,United States,New York City,New York,East,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",102.048,1,1.0287,COD,5
2639,CA-2020-108441,"Friday, June 12, 2020","Thursday, June 18, 2020",Standard Class,SB-20190,Sarah Bern,Consumer,United States,New York City,New York,East,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,124.128,3,4.2666,COD,6
9829,CA-2020-169999,"Friday, June 19, 2020","Friday, June 26, 2020",Standard Class,JS-15685,Jim Sink,Corporate,United States,New York City,New York,East,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,137.568,3,3.7596,COD,7
6940,CA-2020-107132,"Friday, June 26, 2020","Tuesday, June 30, 2020",Standard Class,SC-20260,Scott Cohen,Corporate,United States,New York City,New York,East,OFF-BI-10001071,Office Supplies,Binders,GBC ProClick Punch Binding System,127.368,2,37.1084,Cards,4
7894,CA-2020-125367,"Thursday, July 23, 2020","Thursday, July 30, 2020",Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,East,OFF-BI-10002412,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,120.92,3,4.35,COD,7
759,CA-2020-117240,"Thursday, July 23, 2020","Tuesday, July 28, 2020",Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,East,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,116.128,3,4.2666,Cards,5
9271,US-2020-102183,"Friday, August 21, 2020","Friday, August 28, 2020",Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,4330.552,6,1453.1238,COD,7
9270,US-2020-102183,"Friday, August 21, 2020","Friday, August 28, 2020",Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,139.088,7,11.2308,COD,7
5404,CA-2020-123043,"Monday, August 24, 2020","Saturday, August 29, 2020",Standard Class,AH-10195,Alan Haines,Corporate,United States,New York City,New York,East,OFF-BI-10000138,Office Supplies,Binders,Acco Translucent Poly Ring Binders,141.744,1,1.3104,Cards,5
5403,CA-2020-123043,"Monday, August 24, 2020","Saturday, August 29, 2020",Standard Class,AH-10195,Alan Haines,Corporate,United States,New York City,New York,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,121.672,4,7.71,Cards,5
1951,CA-2020-157987,"Wednesday, September 2, 2020","Sunday, September 6, 2020",Standard Class,AC-10615,Ann Chong,Corporate,United States,New York City,New York,East,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",104.432,8,8.9208,COD,4
6098,CA-2020-100111,"Sunday, September 20, 2020","Saturday, September 26, 2020",Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",119.784,3,3.9771,Online,6
3820,CA-2020-141873,"Friday, October 9, 2020","Wednesday, October 14, 2020",Standard Class,HG-14845,Harry Greene,Consumer,United States,New York City,New York,East,OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,125.816,3,4.3254,Online,5
3823,CA-2020-141873,"Friday, October 9, 2020","Wednesday, October 14, 2020",Standard Class,HG-14845,Harry Greene,Consumer,United States,New York City,New York,East,OFF-BI-10003655,Office Supplies,Binders,Durable Pressboard Binders,144.24,6,6.156,Online,5
3218,CA-2020-104640,"Tuesday, November 10, 2020","Monday, November 16, 2020",Standard Class,FH-14275,Frank Hawley,Corporate,United States,New York City,New York,East,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,971.176,3,314.2719,Online,6
1073,CA-2020-106943,"Saturday, November 14, 2020","Thursday, November 19, 2020",Standard Class,FO-14305,Frank Olsen,Consumer,United States,New York City,New York,East,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,121.64,2,3.024,Online,5
5135,CA-2020-155607,"Thursday, November 26, 2020","Monday, November 30, 2020",Standard Class,FG-14260,Frank Gastineau,Home Office,United States,New York City,New York,East,OFF-BI-10003364,Office Supplies,Binders,Binding Machine Supplies,135.344,4,32.6704,COD,4
2463,CA-2020-148691,"Thursday, December 3, 2020","Wednesday, December 9, 2020",Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,East,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,116.92,5,29.372,Cards,6
2464,CA-2020-148691,"Thursday, December 3, 2020","Wednesday, December 9, 2020",Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,110.624,2,5.1184,COD,6
6748,CA-2020-100230,"Friday, December 11, 2020","Tuesday, December 15, 2020",Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,East,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,415.952,1,5.0463,Online,4
390,CA-2020-101798,"Friday, December 11, 2020","Tuesday, December 15, 2020",Standard Class,MV-18190,Mike Vittorini,Consumer,United States,New York City,New York,East,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",398.36,4,7.884,COD,4
7041,CA-2020-103443,"Thursday, December 17, 2020","Wednesday, December 23, 2020",Standard Class,AT-10735,Annie Thurman,Consumer,United States,New York City,New York,East,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,444.816,3,8.3754,COD,6
6510,CA-2020-102197,"Sunday, December 20, 2020","Saturday, December 26, 2020",Standard Class,DK-13150,David Kendrick,Corporate,United States,New York City,New York,East,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,489.352,3,17.6232,Cards,6
1507,CA-2020-154935,"Thursday, December 24, 2020","Tuesday, December 29, 2020",Standard Class,AR-10540,Andy Reiter,Consumer,United States,New York City,New York,East,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",362.88,3,5.5875,Online,5
573,CA-2020-164826,"Monday, December 28, 2020","Monday, January 4, 2021",Standard Class,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,East,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,158.264,7,11.2266,COD,7
909,CA-2020-143259,"Wednesday, December 30, 2020","Sunday, January 3, 2021",Standard Class,PO-18865,Patrick O'Donnell,Consumer,United States,New York City,New York,East,OFF-BI-10003684,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,462.776,3,19.791,COD,4
8761,CA-2019-159891,"Thursday, January 31, 2019","Wednesday, February 6, 2019",Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,635.495,Online,6
8277,US-2019-139262,"Thursday, February 21, 2019","Monday, February 25, 2019",Standard Class,LC-16960,Lindsay Castell,Home Office,United States,Tampa,Florida,South,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,3.762,3,-2.7588,COD,4
8278,US-2019-139262,"Thursday, February 21, 2019","Monday, February 25, 2019",Standard Class,LC-16960,Lindsay Castell,Home Office,United States,Tampa,Florida,South,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,34.86,2,-26.726,Online,4
8444,US-2019-155173,"Wednesday, March 6, 2019","Sunday, March 10, 2019",Standard Class,JB-16045,Julia Barnett,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,2.043,1,-1.4982,COD,4
8506,CA-2019-130400,"Friday, March 8, 2019","Tuesday, March 12, 2019",Standard Class,SJ-20125,Sanjit Jacobs,Home Office,United States,Dallas,Texas,Central,OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,8.856,9,-14.1696,Cards,4
2366,US-2019-108637,"Wednesday, March 13, 2019","Monday, March 18, 2019",Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,South,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46,4,20.7,Online,5
3674,CA-2019-104969,"Monday, April 8, 2019","Sunday, April 14, 2019",Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,Troy,Ohio,East,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,121.104,6,-100.92,COD,6
430,US-2019-123750,"Monday, April 15, 2019","Sunday, April 21, 2019",Standard Class,RB-19795,Ross Baird,Home Office,United States,Gastonia,North Carolina,South,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,189.588,2,-145.3508,COD,6
465,CA-2019-109869,"Monday, April 22, 2019","Monday, April 29, 2019",Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,West,OFF-BI-10000315,Office Supplies,Binders,Poly Designer Cover & Back,28.485,5,-20.889,Online,7
4989,CA-2019-149279,"Wednesday, April 24, 2019","Sunday, April 28, 2019",Standard Class,CL-12700,Craig Leslie,Home Office,United States,Colorado Springs,Colorado,West,OFF-BI-10004040,Office Supplies,Binders,Wilson Jones Impact Binders,3.108,2,-2.1756,COD,4
2096,US-2019-146570,"Wednesday, May 15, 2019","Monday, May 20, 2019",Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Jackson,Mississippi,South,OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,511.84,8,240.5648,Cards,5
935,CA-2019-140081,"Thursday, June 20, 2019","Monday, June 24, 2019",Standard Class,CG-12040,Catherine Glotzbach,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10004826,Office Supplies,Binders,JM Magazine Binder,29.718,6,-21.7932,COD,4
6526,CA-2019-129308,"Sunday, July 7, 2019","Saturday, July 13, 2019",Standard Class,CC-12100,Chad Cunningham,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",5.715,5,-4.7625,COD,6
6527,CA-2019-129308,"Sunday, July 7, 2019","Saturday, July 13, 2019",Standard Class,CC-12100,Chad Cunningham,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001308,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,9.42,5,-7.85,COD,6
4237,CA-2019-162404,"Tuesday, July 23, 2019","Saturday, July 27, 2019",Standard Class,NF-18475,Neil Französisch,Home Office,United States,Rockford,Illinois,Central,OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",11.416,4,-18.8364,COD,4
2174,CA-2019-112025,"Tuesday, July 30, 2019","Sunday, August 4, 2019",Standard Class,LS-16975,Lindsay Shagiari,Home Office,United States,Houston,Texas,Central,OFF-BI-10002353,Office Supplies,Binders,GBC VeloBind Cover Sets,9.264,3,-13.896,COD,5
9160,CA-2019-118934,"Friday, August 9, 2019","Wednesday, August 14, 2019",Standard Class,GH-14410,Gary Hansen,Home Office,United States,Hendersonville,Tennessee,South,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,4.338,3,-3.0366,COD,5
9161,CA-2019-118934,"Friday, August 9, 2019","Wednesday, August 14, 2019",Standard Class,GH-14410,Gary Hansen,Home Office,United States,Hendersonville,Tennessee,South,OFF-BI-10004465,Office Supplies,Binders,Avery Durable Slant Ring Binders,11.88,5,-7.92,COD,5
8307,CA-2019-128671,"Sunday, August 11, 2019","Friday, August 16, 2019",Standard Class,MT-18070,Michelle Tran,Home Office,United States,Tulsa,Oklahoma,Central,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,41.86,7,19.2556,COD,5
8308,CA-2019-128671,"Sunday, August 11, 2019","Friday, August 16, 2019",Standard Class,MT-18070,Michelle Tran,Home Office,United States,Tulsa,Oklahoma,Central,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",77.56,2,35.6776,Online,5
102,CA-2019-158568,"Thursday, August 29, 2019","Monday, September 2, 2019",Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,-3.0396,Cards,4
3594,CA-2019-164154,"Wednesday, September 11, 2019","Tuesday, September 17, 2019",Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Toledo,Ohio,East,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,22.428,3,-17.9424,COD,6
7666,US-2019-140158,"Friday, October 4, 2019","Tuesday, October 8, 2019",Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Providence,Rhode Island,East,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,30.4,1,13.984,Online,4
2178,CA-2019-125738,"Tuesday, October 15, 2019","Monday, October 21, 2019",Standard Class,PB-18805,Patrick Bzostek,Home Office,United States,Salt Lake City,Utah,West,OFF-BI-10001628,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",41.72,5,13.0375,Online,6
2524,CA-2019-124352,"Tuesday, October 15, 2019","Monday, October 21, 2019",Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,Central,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,121.6,4,55.936,Online,6
9807,CA-2019-136322,"Monday, October 21, 2019","Saturday, October 26, 2019",Standard Class,AP-10720,Anne Pryor,Home Office,United States,Fort Lauderdale,Florida,South,OFF-BI-10004817,Office Supplies,Binders,GBC Personal VeloBind Strips,28.752,8,-21.0848,COD,5
4370,US-2019-165078,"Tuesday, November 5, 2019","Sunday, November 10, 2019",Standard Class,MA-17995,Michelle Arnett,Home Office,United States,Lawrence,Indiana,Central,OFF-BI-10001989,Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,104.9,5,50.352,Cards,5
3642,CA-2019-145177,"Sunday, November 10, 2019","Thursday, November 14, 2019",Standard Class,PP-18955,Paul Prost,Home Office,United States,Springfield,Ohio,East,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,69.888,7,-46.592,Cards,4
4725,CA-2019-131968,"Monday, November 11, 2019","Friday, November 15, 2019",Standard Class,LB-16795,Laurel Beltran,Home Office,United States,Apopka,Florida,South,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,9.888,2,-6.9216,Online,4
3260,US-2019-162103,"Wednesday, November 13, 2019","Sunday, November 17, 2019",Standard Class,LB-16795,Laurel Beltran,Home Office,United States,Highland Park,Illinois,Central,OFF-BI-10000285,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,3.136,2,-4.704,Online,4
1476,CA-2019-113138,"Tuesday, November 19, 2019","Monday, November 25, 2019",Standard Class,NP-18685,Nora Pelletier,Home Office,United States,Niagara Falls,New York,East,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,17.712,3,6.4206,COD,6
3104,CA-2019-124562,"Sunday, December 8, 2019","Thursday, December 12, 2019",Standard Class,JP-16135,Julie Prescott,Home Office,United States,Columbus,Ohio,East,OFF-BI-10001267,Office Supplies,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",12.957,7,-9.5018,Online,4
